Sentence,Noun,Verb,Adverb,Adjective
one thing i learned  there are all beautiful and yes black are to,thing i,learn be be,,beautiful yes black
little bit ugly but black is beautiful,bit,,ugly,little black beautiful
black is beautiful,,,,black beautiful
you're a black beauty,beauty,be,,black
beautiful with your black colour,colour,,,beautiful black
real africanâ,african,,,real
black fine pass white,pas,,,black fine white
dark 'n' lovely,,,lovely,dark
â black is pretty,,,,black pretty
real thing. black girls nice,thing girl,,,real black nice
looks like she's wearing a condom!,look condom,wear,,
go beyonce and her friend sumthin big brandon would neva an will neva giv a fuk about duuuh,friend sustain brandon fur dutch,go Neva Neva give,,big
that actually looks a bit uncomfortable,bit,look,actually,uncomfortable
â my girl love you chica,girl,chica,,
wow absolutely stunning cute butt,wow cute butt,stun,absolutely,
â dat booty tho,dat booty tho,,,
that ass nice,as nice,,,
wow awesome,wow awesome,,,
that dress is fucking awesome,dress,fuck,,awesome
hot as alwyz,Alwyn,,,hot
my star i love uâ,star i,love,,
hi beyonce,hi,,,
wish i cn touch them 1day,i,CN touch,,wish
â sexy bathin suit love it wow,sexy bathing suit,love wow,,
wow beyonce are sexy,wow,be,,sexy
very nice and beautiful,,,very,nice beautiful
beyonce it's beautiful,,,,beautiful
just move your body,body,move,just,
wow! you are so sexy!,wow,be,so,sexy
